bench,conn,count,bytes,world,iters,min_us,median_us,p99_us,max_us,busbw_gbps
allreduce,tcp_untuned,4194304,16777216,2,200,17167.87,18087.48,21278.39,23521.27,7.420
allreduce,rdma,16384,65536,2,200,17.72,18.83,31.68,34.88,27.837
allreduce,rdma,65536,262144,2,200,55.49,61.42,1538.81,2420.56,34.142
allreduce,rdma,262144,1048576,2,200,160.28,167.10,189.71,191.74,50.200
allreduce,rdma,1048576,4194304,2,200,612.42,620.31,2283.37,2294.16,54.093
allreduce,rdma,1572864,6291456,2,200,1035.17,1142.37,1558.93,1682.61,44.059
allreduce,rdma,2097152,8388608,2,200,1734.10,1776.72,3738.78,3822.28,37.771
allreduce,rdma,3145728,12582912,2,200,3170.66,3211.64,5064.86,5068.83,31.343
allreduce,rdma,4194304,16777216,2,200,4438.83,4482.85,6204.80,6206.67,29.940
allreduce,tcp,16384,65536,2,200,73.63,77.70,87.53,91.02,6.747
allreduce,tcp,65536,262144,2,200,195.89,201.27,211.01,211.87,10.419
allreduce,tcp,262144,1048576,2,200,793.09,819.04,847.23,849.28,10.242
allreduce,tcp,1048576,4194304,2,200,2489.39,2582.53,2849.02,2878.21,12.993
allreduce,tcp,1572864,6291456,2,200,5792.49,5860.54,6258.62,12076.58,8.588
allreduce,tcp,2097152,8388608,2,200,5553.03,5763.99,6268.04,12469.90,11.643
allreduce,tcp,3145728,12582912,2,200,7906.52,8077.68,8449.71,8476.61,12.462
allreduce,tcp,4194304,16777216,2,200,10301.29,10448.21,11270.65,11466.91,12.846
allreduce,tcp_untuned,16384,65536,2,200,89.67,94.90,114.93,115.11,5.524
allreduce,tcp_untuned,65536,262144,2,200,255.96,272.83,293.69,301.79,7.687
allreduce,tcp_untuned,262144,1048576,2,200,560.24,656.36,756.17,757.03,12.780
allreduce,tcp_untuned,1048576,4194304,2,200,2947.80,3082.26,3670.87,3700.08,10.886
allreduce,tcp_untuned,1572864,6291456,2,200,4645.02,4822.41,5071.94,5274.20,10.437
allreduce,tcp_untuned,2097152,8388608,2,200,5447.28,6001.07,6485.90,6779.97,11.183
allreduce,tcp_untuned,3145728,12582912,2,200,9527.19,10265.19,17357.33,17941.52,9.806
allreduce,tcp_untuned,4194304,16777216,2,200,13370.64,14350.60,15339.51,15570.15,9.353
allreduce,rdma,16384,65536,2,200,16.87,17.23,21.58,23.94,30.429
allreduce,rdma,65536,262144,2,200,48.49,49.05,61.79,69.33,42.753
allreduce,rdma,262144,1048576,2,200,159.54,168.64,185.41,187.55,49.743
allreduce,rdma,1048576,4194304,2,200,607.32,617.09,754.09,2214.56,54.375
allreduce,rdma,1572864,6291456,2,200,1026.12,1043.11,1231.05,1402.04,48.251
allreduce,rdma,2097152,8388608,2,200,1739.31,1768.14,2258.54,2488.22,37.954
allreduce,rdma,3145728,12582912,2,200,3114.04,3197.93,3596.95,3615.59,31.478
allreduce,rdma,4194304,16777216,2,200,4322.63,4480.06,4857.24,4877.81,29.959
allreduce,tcp,16384,65536,2,200,72.49,78.20,88.77,95.17,6.705
allreduce,tcp,65536,262144,2,200,196.32,203.01,222.19,224.01,10.330
allreduce,tcp,262144,1048576,2,200,541.40,550.97,589.29,594.67,15.225
allreduce,tcp,1048576,4194304,2,200,2421.09,2571.27,2623.09,2864.00,13.050
allreduce,tcp,1572864,6291456,2,200,4035.42,4133.56,4276.76,4589.74,12.176
allreduce,tcp,2097152,8388608,2,200,8557.37,8750.10,9151.65,9151.77,7.669
allreduce,tcp,3145728,12582912,2,200,9512.81,9690.50,10079.41,10231.72,10.388
allreduce,tcp,4194304,16777216,2,200,14546.41,14981.35,21880.78,26657.60,8.959
allreduce,tcp_untuned,16384,65536,2,200,92.64,98.68,107.44,116.47,5.313
allreduce,tcp_untuned,65536,262144,2,200,187.63,212.95,271.75,296.99,9.848
allreduce,tcp_untuned,262144,1048576,2,200,829.43,972.46,1108.43,1114.59,8.626
allreduce,tcp_untuned,1048576,4194304,2,200,2945.55,3182.10,3460.55,3482.17,10.545
allreduce,tcp_untuned,1572864,6291456,2,200,4176.62,4348.25,4764.74,4965.90,11.575
allreduce,tcp_untuned,2097152,8388608,2,200,6697.82,7644.60,8269.74,8336.62,8.779
allreduce,tcp_untuned,3145728,12582912,2,200,10719.23,10970.30,11743.52,12014.11,9.176
allreduce,tcp_untuned,4194304,16777216,2,200,10352.72,10647.22,12255.05,23311.19,12.606
allreduce,rdma,16384,65536,2,200,17.57,18.95,32.41,35.06,27.663
allreduce,rdma,65536,262144,2,200,47.80,55.78,73.56,74.13,37.598
allreduce,rdma,262144,1048576,2,200,158.44,166.73,189.99,190.25,50.313
allreduce,rdma,1048576,4194304,2,200,609.76,616.12,693.49,2233.88,54.461
allreduce,rdma,1572864,6291456,2,200,1028.43,1048.83,1307.57,3145.70,47.988
allreduce,rdma,2097152,8388608,2,200,1734.04,1763.55,2173.99,3137.82,38.053
allreduce,rdma,3145728,12582912,2,200,3078.19,3202.61,5048.74,5064.24,31.432
allreduce,rdma,4194304,16777216,2,200,4257.13,4474.60,4866.30,6171.72,29.995
allreduce,tcp,16384,65536,2,200,72.18,77.46,88.95,109.70,6.769
allreduce,tcp,65536,262144,2,200,192.93,198.04,207.63,207.96,10.589
allreduce,tcp,262144,1048576,2,200,613.21,648.63,682.71,693.00,12.933
allreduce,tcp,1048576,4194304,2,200,3644.64,3747.87,4143.91,4178.31,8.953
allreduce,tcp,1572864,6291456,2,200,5846.00,5993.23,6290.05,6389.44,8.398
allreduce,tcp,2097152,8388608,2,200,7634.45,7826.56,19594.10,21360.41,8.575
allreduce,tcp,3145728,12582912,2,200,9349.55,9486.83,9956.72,10014.86,10.611
allreduce,tcp,4194304,16777216,2,200,14125.72,14925.07,15657.25,15780.98,8.993
allreduce,tcp_untuned,16384,65536,2,200,83.34,89.69,100.34,106.91,5.845
allreduce,tcp_untuned,65536,262144,2,200,192.86,225.34,296.24,296.58,9.307
allreduce,tcp_untuned,262144,1048576,2,200,520.41,544.78,683.34,687.44,15.398
allreduce,tcp_untuned,1048576,4194304,2,200,2439.89,2650.85,2855.22,3109.34,12.658
allreduce,tcp_untuned,1572864,6291456,2,200,5322.16,5522.70,5908.42,5991.38,9.114
