bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps,rep
perftest_ib_send_lat,verbs,4096,1,1000,1.80,3.68,3.86,9.21,,1
lat_send_recv,verbs,4096,1,1000,5.331,7.139,7.320,20.790,,2
lat_rdma_write,verbs,4096,1,1000,3.449,3.512,3.602,6.578,,2
perftest_ib_send_lat,verbs,4096,1,1000,1.82,3.68,3.91,6.08,,2
lat_send_recv,verbs,4096,1,1000,5.319,7.112,7.312,20.821,,3
lat_rdma_write,verbs,4096,1,1000,3.452,3.552,3.917,9.076,,3
perftest_ib_send_lat,verbs,4096,1,1000,1.81,3.69,3.88,8.85,,3
lat_send_recv,verbs,4096,1,1000,5.284,5.764,7.320,10.626,,4
lat_rdma_write,verbs,4096,1,1000,3.446,3.507,3.611,22.370,,4
perftest_ib_send_lat,verbs,4096,1,1000,1.80,3.65,3.84,11.42,,4
lat_send_recv,verbs,4096,1,1000,5.306,7.111,7.297,10.946,,5
lat_rdma_write,verbs,4096,1,1000,3.432,3.528,3.624,18.890,,5
perftest_ib_send_lat,verbs,4096,1,1000,1.81,3.64,3.83,10.83,,5
lat_send_recv,verbs,4096,2,1000,3.485,5.371,7.252,11.507,,1
lat_rdma_write,verbs,4096,2,1000,3.462,3.527,3.643,9.307,,1
perftest_ib_send_lat,verbs,4096,2,1000,1.81,3.66,3.86,9.22,,1
lat_send_recv,verbs,4096,2,1000,3.486,5.376,7.263,10.967,,2
lat_rdma_write,verbs,4096,2,1000,3.434,3.511,3.630,7.770,,2
perftest_ib_send_lat,verbs,4096,2,1000,1.80,3.68,3.87,8.27,,2
lat_send_recv,verbs,4096,2,1000,3.491,5.361,7.255,11.967,,3
lat_rdma_write,verbs,4096,2,1000,3.468,3.523,3.623,17.899,,3
perftest_ib_send_lat,verbs,4096,2,1000,1.82,2.02,3.91,11.41,,3
lat_send_recv,verbs,4096,2,1000,3.489,5.366,7.269,15.157,,4
lat_rdma_write,verbs,4096,2,1000,3.435,3.518,3.604,17.680,,4
perftest_ib_send_lat,verbs,4096,2,1000,1.81,3.68,3.88,10.17,,4
lat_send_recv,verbs,4096,2,1000,3.504,5.374,7.271,9.247,,5
lat_rdma_write,verbs,4096,2,1000,3.452,3.511,3.593,8.149,,5
perftest_ib_send_lat,verbs,4096,2,1000,1.80,3.64,3.86,6.22,,5
lat_send_recv,verbs,4096,4,1000,3.484,3.993,7.230,18.242,,1
lat_rdma_write,verbs,4096,4,1000,3.460,3.523,3.602,8.410,,1
perftest_ib_send_lat,verbs,4096,4,1000,1.81,1.84,2.09,8.52,,1
lat_send_recv,verbs,4096,4,1000,3.471,3.983,7.246,20.061,,2
lat_rdma_write,verbs,4096,4,1000,3.446,3.519,3.619,7.750,,2
perftest_ib_send_lat,verbs,4096,4,1000,1.81,1.84,2.11,9.80,,2
lat_send_recv,verbs,4096,4,1000,3.488,3.989,7.228,11.339,,3
lat_rdma_write,verbs,4096,4,1000,3.434,3.506,3.597,18.743,,3
perftest_ib_send_lat,verbs,4096,4,1000,1.79,1.84,2.10,9.11,,3
lat_send_recv,verbs,4096,4,1000,3.459,3.990,7.255,7.464,,4
lat_rdma_write,verbs,4096,4,1000,3.431,3.514,3.659,16.722,,4
perftest_ib_send_lat,verbs,4096,4,1000,1.79,1.84,2.11,3.33,,4
lat_send_recv,verbs,4096,4,1000,3.488,3.991,7.257,21.454,,5
lat_rdma_write,verbs,4096,4,1000,3.459,3.522,3.603,16.536,,5
perftest_ib_send_lat,verbs,4096,4,1000,1.83,1.86,2.12,9.52,,5
lat_send_recv,verbs,4096,8,1000,3.487,3.560,7.213,12.766,,1
lat_rdma_write,verbs,4096,8,1000,3.430,3.513,3.602,14.490,,1
perftest_ib_send_lat,verbs,4096,8,1000,1.79,1.83,2.08,8.88,,1
lat_send_recv,verbs,4096,8,1000,3.473,3.551,7.225,19.363,,2
lat_rdma_write,verbs,4096,8,1000,3.442,3.517,3.596,8.705,,2
perftest_ib_send_lat,verbs,4096,8,1000,1.79,1.83,2.01,9.02,,2
lat_send_recv,verbs,4096,8,1000,3.460,3.559,7.213,8.649,,3
lat_rdma_write,verbs,4096,8,1000,3.468,3.526,3.612,17.240,,3
perftest_ib_send_lat,verbs,4096,8,1000,1.80,1.83,2.06,3.92,,3
lat_send_recv,verbs,4096,8,1000,3.470,3.566,7.245,7.863,,4
lat_rdma_write,verbs,4096,8,1000,3.436,3.527,3.607,7.290,,4
perftest_ib_send_lat,verbs,4096,8,1000,1.75,1.78,2.03,9.77,,4
lat_send_recv,verbs,4096,8,1000,3.471,3.559,7.226,8.425,,5
lat_rdma_write,verbs,4096,8,1000,3.471,3.528,3.626,9.084,,5
perftest_ib_send_lat,verbs,4096,8,1000,1.79,1.84,1.99,8.66,,5
lat_send_recv,verbs,4096,16,1000,3.478,3.547,5.754,19.543,,1
lat_rdma_write,verbs,4096,16,1000,3.428,3.503,3.625,16.878,,1
perftest_ib_send_lat,verbs,4096,16,1000,1.78,1.83,1.99,8.56,,1
lat_send_recv,verbs,4096,16,1000,3.471,3.549,5.693,18.577,,2
lat_rdma_write,verbs,4096,16,1000,3.441,3.515,3.605,16.400,,2
perftest_ib_send_lat,verbs,4096,16,1000,1.78,1.83,1.97,9.29,,2
lat_send_recv,verbs,4096,16,1000,3.477,3.548,5.512,16.872,,3
lat_rdma_write,verbs,4096,16,1000,3.449,3.521,3.617,6.837,,3
perftest_ib_send_lat,verbs,4096,16,1000,1.80,1.84,1.97,8.42,,3
lat_send_recv,verbs,4096,16,1000,3.472,3.549,5.715,18.945,,4
lat_rdma_write,verbs,4096,16,1000,3.456,3.526,3.603,7.068,,4
perftest_ib_send_lat,verbs,4096,16,1000,1.80,1.84,1.98,9.13,,4
lat_send_recv,verbs,4096,16,1000,3.474,3.547,5.521,7.778,,5
lat_rdma_write,verbs,4096,16,1000,3.440,3.511,3.619,8.314,,5
perftest_ib_send_lat,verbs,4096,16,1000,1.72,1.76,1.80,8.54,,5
lat_send_recv,verbs,4096,32,1000,3.472,3.547,5.523,7.315,,1
lat_rdma_write,verbs,4096,32,1000,3.457,3.527,3.615,8.012,,1
perftest_ib_send_lat,verbs,4096,32,1000,1.77,1.83,1.97,8.86,,1
lat_send_recv,verbs,4096,32,1000,3.476,3.546,5.526,8.440,,2
lat_rdma_write,verbs,4096,32,1000,3.442,3.516,3.603,7.255,,2
perftest_ib_send_lat,verbs,4096,32,1000,1.79,1.83,1.96,9.63,,2
lat_send_recv,verbs,4096,32,1000,3.477,3.545,5.489,8.220,,3
lat_rdma_write,verbs,4096,32,1000,3.445,3.519,3.592,8.371,,3
perftest_ib_send_lat,verbs,4096,32,1000,1.77,1.80,1.93,8.59,,3
lat_send_recv,verbs,4096,32,1000,3.474,3.543,5.510,16.601,,4
